# Time_fs    FermiEnergy_eV
     50.00        -1.4908636556
    100.00        -1.6265230763
    150.00        -1.3690917705
    200.00        -1.3578314266
    250.00        -1.0045688624
    300.00        -0.9559480306
    350.00        -0.7651569229
    400.00        -1.6922493513
    450.00        -0.9898766579
    500.00        -1.1388366393
    550.00        -0.7214960624
    600.00        -1.8014172048
    650.00        -1.2839827926
    700.00        -1.0686244855
    750.00        -1.0026723289
    800.00        -0.8760529739
    850.00        -0.6400409675
    900.00        -0.7813683846
    950.00        -0.5718069351
   1000.00        -1.0483898457
   1050.00        -1.0900448594
   1100.00        -1.0289193208
   1150.00        -0.7339237343
   1200.00        -0.5534732833
   1250.00        -1.0064932172
   1300.00        -1.1950570541
   1350.00        -0.9627518020
   1400.00        -0.8824625130
   1450.00        -1.3095053015
   1500.00        -0.9098988674
   1550.00        -0.6179126346
   1600.00        -0.8510809923
   1650.00        -0.8698980296
   1700.00        -1.1312611909
   1750.00        -0.2292002557
   1800.00        -1.0208768251
   1850.00        -1.0228106839
   1900.00        -0.6749494749
   1950.00        -1.0478440721
   2000.00        -0.9787354979
   2050.00        -0.4694259275
   2100.00        -0.6809658608
   2150.00        -0.4811392388
   2200.00        -0.3628185486
   2250.00        -0.4058255963
   2300.00        -0.5320027928
   2350.00        -0.4979609243
   2400.00        -0.3868774374
   2450.00        -0.1886442333
   2500.00        -0.5207747970
   2550.00        -0.8513307165
   2600.00        -0.6794063197
   2650.00        -0.8749139657
   2700.00        -0.9579157320
   2750.00        -0.9178502305
   2800.00        -1.1607042419
   2850.00        -0.4919292613
   2900.00        -0.5954247494
   2950.00        -0.6550640198
   3000.00        -0.6429510713
   3050.00        -0.7750049081
   3100.00        -1.0893460635
   3150.00        -0.8758756045
   3200.00        -1.1022020654
   3250.00        -0.6517151835
   3300.00        -0.9311661815
   3350.00        -1.2248401353
   3400.00        -0.0700538304
   3450.00        -0.0258323885
   3500.00        -0.8790727091
   3550.00        -0.5908793978
   3600.00        -0.5021739807
   3650.00        -0.5278591097
   3700.00        -0.6802703265
   3750.00        -0.7862202152
   3800.00        -0.8421753320
   3850.00        -0.4756236309
   3900.00        -0.8822514588
   3950.00        -0.2089015571
   4000.00        -0.5317789529
   4050.00        -0.3647914264
   4100.00        -0.1905847984
   4150.00        -0.2578442082
   4200.00        -0.3373971545
   4250.00         0.0420589640
   4300.00        -0.7899123974
   4350.00        -0.6992310431
   4400.00        -0.4956466647
   4450.00        -0.7273562698
   4500.00        -1.0532816061
   4550.00        -0.9820684691
   4600.00        -1.0515400187
   4650.00        -0.9731593163
   4700.00        -1.0828234897
   4750.00        -1.0900107303
   4800.00        -0.5734758652
   4850.00        -0.6212348072
   4900.00        -0.4142725134
   4950.00        -0.5311751138
   5000.00        -1.0074941268
   5050.00        -0.8538610063
   5100.00        -0.8892549375
   5150.00        -0.5595799005
   5200.00        -1.1106955515
   5250.00        -0.9363142084
   5300.00        -0.8618550557
   5350.00        -0.8106367345
   5400.00        -0.8005156758
   5450.00        -0.7411451089
   5500.00        -0.9539198189
   5550.00        -0.8729748144
   5600.00        -0.7764335950
   5650.00        -0.8675360107
   5700.00        -0.8451610060
   5750.00        -1.0103828954
   5800.00        -0.4886919207
   5850.00        -0.7119258035
   5900.00        -0.5552923059
   5950.00        -0.6329824702
   6000.00        -0.8617433053
   6050.00        -0.6437754599
   6100.00        -0.7826062924
   6150.00        -0.6421001852
   6200.00        -0.6248801403
   6250.00        -0.4088376114
   6300.00        -0.8312608243
   6350.00        -1.0270836881
   6400.00        -0.9223290648
   6450.00        -0.7418925535
   6500.00        -0.6739917370
   6550.00        -0.7484313178
   6600.00        -0.6621171297
   6650.00        -0.3933401232
   6700.00        -0.8170565571
   6750.00        -1.1692525420
   6800.00        -0.8502163796
   6850.00        -1.0799451961
   6900.00        -0.7239356003
   6950.00        -0.8929268786
   7000.00        -0.8357684293
   7050.00        -0.6425760509
   7100.00        -0.5968481986
   7150.00        -0.8615450762
   7200.00        -0.7039843633
   7250.00        -0.8455181592
   7300.00        -0.9442613302
   7350.00        -0.8263363380
   7400.00        -1.0556090348
   7450.00        -1.5574542429
   7500.00        -0.6272638029
   7550.00        -1.6011790726
   7600.00        -1.2556883456
