# TimeStep_fs    WaterBulkPotential_eV | Water region: 5.0–17.0 Å
       50.00         0.7310018229
      100.00         0.8584177727
      150.00         0.6934943437
      200.00         0.8920213845
      250.00         0.8657478800
      300.00         0.8727118213
      350.00         0.7324510423
      400.00         1.3180830538
      450.00         1.1732978654
      500.00         1.0997811421
      550.00         0.7352492036
      600.00         1.0129189984
      650.00         1.2202074838
      700.00         0.7850484020
      750.00         0.7203519370
      800.00         1.2296270370
      850.00         0.4069422587
      900.00         0.8465772307
      950.00         0.7263782454
     1000.00         0.3420118572
     1050.00         0.7611899338
     1100.00         0.4804185189
     1150.00         0.2072814497
     1200.00         0.4749290443
     1250.00         0.3111089812
     1300.00         0.6077741225
     1350.00         0.4197824131
     1400.00         0.3495764431
     1450.00         0.6499685585
     1500.00         0.1246800614
     1550.00         0.2280901441
     1600.00        -0.0012672760
     1650.00         0.1714129214
     1700.00        -0.0452401872
     1750.00        -0.3342516173
     1800.00        -0.3761059059
     1850.00        -0.0383485787
     1900.00        -0.0305045753
     1950.00         0.1045579140
     2000.00         0.1669434261
     2050.00         0.0215993812
     2100.00        -0.2335161143
     2150.00        -0.0941523756
     2200.00        -0.0743602624
     2250.00        -0.0575077053
     2300.00         0.2828356333
     2350.00        -0.0220880117
     2400.00        -0.2388301197
     2450.00         0.5535081487
     2500.00         0.3058237803
     2550.00         0.1422170429
     2600.00         0.0676167981
     2650.00         0.5887220185
     2700.00         0.4103477244
     2750.00         0.1350055280
     2800.00         0.2793938108
     2850.00         0.1991247038
     2900.00         0.0938098368
     2950.00         0.2105258397
     3000.00         0.0109388098
     3050.00        -0.0232801560
     3100.00         0.2435470471
     3150.00         0.4548920771
     3200.00        -0.0506961966
     3250.00         0.2061324021
     3300.00        -0.0115345058
     3350.00         0.3431809842
     3400.00         0.0804179711
     3450.00        -0.4041404272
     3500.00        -0.1171986951
     3550.00        -0.1352829095
     3600.00        -0.1265104560
     3650.00         0.1792900016
     3700.00        -0.1748691416
     3750.00         0.0348453087
     3800.00        -0.1218545277
     3850.00         0.0514893196
     3900.00         0.0256332598
     3950.00         0.1396362298
     4000.00         0.0872264085
     4050.00        -0.2032503854
     4100.00        -0.0518570535
     4150.00        -0.5782623736
     4200.00         0.0380441065
     4250.00        -0.6619358097
     4300.00        -0.3002929109
     4350.00        -0.2814709620
     4400.00        -0.0780533577
     4450.00        -0.8461131117
     4500.00        -0.1490783885
     4550.00        -0.3503775818
     4600.00         0.2259698950
     4650.00        -0.0700122884
     4700.00         0.0529717357
     4750.00        -0.4847769950
     4800.00        -0.2141950340
     4850.00        -0.4450816176
     4900.00        -0.3054341819
     4950.00        -0.2494345355
     5000.00        -0.0708969155
     5050.00        -0.2258882633
     5100.00         0.2166759851
     5150.00        -0.1123367465
     5200.00        -0.2620378318
     5250.00        -0.0522850272
     5300.00        -0.4731744920
     5350.00        -0.2286602376
     5400.00        -0.3281208057
     5450.00        -0.3885048754
     5500.00        -0.1678015048
     5550.00         0.1451943723
     5600.00        -0.0437488191
     5650.00        -0.0022009312
     5700.00        -0.0295273208
     5750.00         0.1350664839
     5800.00        -0.2188675848
     5850.00         0.1390966758
     5900.00        -0.2583520871
     5950.00        -0.8170424380
     6000.00         0.1463891761
     6050.00         0.0357195544
     6100.00        -0.0190584101
     6150.00        -0.4315914188
     6200.00        -0.4876860511
     6250.00        -0.1287993267
     6300.00        -0.1014030403
     6350.00         0.4316329153
     6400.00         0.0626506156
     6450.00         0.0660196648
     6500.00        -0.0735029470
     6550.00         0.2355605883
     6600.00         0.1250575958
     6650.00         0.1316474939
     6700.00         0.4439196265
     6750.00         0.2614786916
     6800.00         0.2045465079
     6850.00         0.0732686360
     6900.00         0.2892074134
     6950.00         0.0649717150
     7000.00         0.2536178147
     7050.00         0.2982865850
     7100.00        -0.1794462802
     7150.00        -0.1154087549
     7200.00         0.1280730111
     7250.00        -0.1083393926
     7300.00         0.1490127888
     7350.00         0.0516476633
     7400.00        -0.0669864819
     7450.00         0.3033494387
     7500.00         0.2097969329
     7550.00         0.3235629359
     7600.00         0.0653924720
     7650.00        -0.0382268767
     7700.00         0.2237536448
     7750.00         0.3539271538
     7800.00        -0.0816807624
     7850.00        -0.0542063107
     7900.00        -0.4328807961
     7950.00        -0.3320303632
     8000.00        -0.1969948657
     8050.00        -0.1963684434
     8100.00        -0.1308317622
     8150.00        -0.0563748696
     8200.00         0.3336556194
     8250.00         0.3738027286
     8300.00        -0.3080283411
     8350.00         0.2630221506
     8400.00         0.0362839186
     8450.00        -0.1757226374
     8500.00         0.1336620775
     8550.00         0.2278719935
     8600.00         0.0693040931
     8650.00         0.2086496745
     8700.00         0.0818468613
     8750.00         0.4416109264
     8800.00         0.3367131081
     8850.00         0.2494310746
     8900.00        -0.3012986940
     8950.00        -0.1020400346
     9000.00         0.0766407433
     9050.00         0.0629155381
     9100.00         0.4386284622
     9150.00         0.4285123130
     9200.00         0.4183684908
     9250.00         0.0651071083
     9300.00        -0.0699854332
     9350.00         0.2638935019
     9400.00         0.2335161088
     9450.00         0.1489281943
     9500.00         0.2577940077
     9550.00         0.0142310487
     9600.00         0.1281003471
     9650.00         0.1672128526
     9700.00         0.3108791606
     9750.00         0.2235907466
     9800.00         0.1100375450
     9850.00         0.1893604234
     9900.00         0.2476841710
     9950.00         0.1618060305
    10000.00        -0.0563994886
    10050.00        -0.4762595437
    10100.00        -0.0582093572
    10150.00         0.3757204933
    10200.00        -0.0548802692
    10250.00        -0.0821663256
    10300.00        -0.1675038857
    10350.00        -0.0900089544
    10400.00         0.4171928207
    10450.00         0.0349823561
    10500.00         0.2867739038
    10550.00         0.0043100271
    10600.00        -0.2052881345
    10650.00         0.1978291880
    10700.00         0.1558657385
    10750.00         0.0644598886
    10800.00        -0.0266234504
    10850.00        -0.2879991759
    10900.00         0.0887355897
    10950.00        -0.4581627963
    11000.00         0.1251510144
    11050.00        -0.1758211120
    11100.00        -0.2797996239
    11150.00        -0.0445822553
    11200.00        -0.1856274733
    11250.00        -0.0466235097
    11300.00         0.2600374055
    11350.00         0.0863819857
    11400.00         0.1885748256
    11450.00        -0.1202612421
    11500.00         0.0031162458
    11550.00        -0.0773148707
    11600.00        -0.0854404947
    11650.00         0.1676090544
    11700.00        -0.2047388969
    11750.00         0.2742583772
    11800.00        -0.0262385206
    11850.00        -0.1902430288
    11900.00        -0.1225693876
    11950.00        -0.1745262741
    12000.00        -0.3610869389
    12050.00        -0.2700384049
    12100.00        -0.1569958972
    12150.00        -0.3352587574
    12200.00        -0.2087005181
    12250.00        -0.1476880771
    12300.00        -0.1151031152
    12350.00         0.0941225003
    12400.00        -0.0526383895
    12450.00        -0.1865949299
    12500.00        -0.0265161898
    12550.00        -0.2640835077
    12600.00        -0.1280173232
    12650.00        -0.2072714919
    12700.00         0.1558366489
    12750.00        -0.0888804047
    12800.00        -0.1135350930
    12850.00         0.0496597573
    12900.00        -0.1801867228
    12950.00        -0.1106016509
    13000.00         0.0244989464
    13050.00        -0.0105390368
    13100.00        -0.4089019820
    13150.00         0.1948088632
    13200.00        -0.3234999157
    13250.00         0.1887041576
    13300.00        -0.1348529019
    13350.00        -0.1276599726
    13400.00         0.0304491804
    13450.00         0.0044869163
    13500.00         0.1211655730
    13550.00        -0.1017010699
    13600.00         0.4254554855
    13650.00        -0.0520907586
    13700.00         0.2312910881
    13750.00         0.0159247351
    13800.00         0.1521798449
    13850.00        -0.0511921020
    13900.00         0.1209030170
    13950.00         0.3670103078
    14000.00         0.2533455221
    14050.00         0.3866255469
    14100.00         0.3682922933
    14150.00         0.0919266471
    14200.00        -0.2003033735
    14250.00        -0.0074754336
    14300.00        -0.5285211012
    14350.00        -0.0694070533
    14400.00         0.1020383143
    14450.00         0.0536342048
    14500.00        -0.3526152850
    14550.00         0.2094125504
    14600.00        -0.2559477736
    14650.00         0.3071198123
    14700.00         0.1091004110
    14750.00         0.4248857510
    14800.00         0.4849354646
    14850.00        -0.0650978803
    14900.00         0.2827331928
    14950.00         0.2354476715
    15000.00        -0.0776295063
    15050.00         0.1480195013
    15100.00        -0.2450951148
